Designator,Mid X,Mid Y,Layer,Rotation
C1,-135.26,-130.74,bottom,0
C2,-152.805,-61.96,bottom,180
C3,-110.96,-112.6025,bottom,-90
C4,-99.635,-112.61,bottom,-90
C5,-109.535,-119.08,bottom,0
C6,-189.39,-85.85,bottom,180
C7,-100.04,-119.065,bottom,0
C8,-113.578825,-119.870001,bottom,-90
C9,-112.11,-119.8475,bottom,-90
C10,-104.1,-119.83,bottom,-90
C11,-102.615,-119.81,bottom,-90
C14,-92.14,-117.75,bottom,-90
C17,-93.58,-117.755,bottom,-90
C18,-196.8375,-85.09,bottom,180
C20,-196.86,-86.6,bottom,180
C22,-180.990001,-68.00025,bottom,0
C23,-180.98,-69.51,bottom,180
C24,-196.525,-89.235,bottom,0
C25,-196.52,-90.745,bottom,0
C26,-180.9575,-71.02,bottom,180
C32,-193.93,-96.71,bottom,90
C35,-182.73,-98.855,bottom,90
C41,-190.11,-98.87,bottom,90
C42,-174.28,-92.86,bottom,180
C43,-183.48,-101.07,bottom,0
C45,-189.36,-101.08,bottom,180
C48,-189.395,-93.0925,bottom,0
C50,-176.445,-75.84,bottom,180
C51,-189.41,-91.58,bottom,0
C53,-176.43,-81.82,bottom,180
C55,-187.16,-98.2675,bottom,90
C56,-185.600001,-98.2725,bottom,90
C57,-182.495231,-77.323291,bottom,180
C58,-182.495231,-78.823291,bottom,180
C63,-184.31,-82.535,bottom,-90
C66,-184.31,-73.655,bottom,90
C76,-188.88,-107.425,bottom,-90
C77,-147.98,-105.32,bottom,-90
C78,-187.95,-119.72,bottom,0
C84,-186.49,-118.25,bottom,180
C90,-198.9,-104.77,bottom,0
C92,-175.97,-107.02,bottom,-90
C93,-177.24,-92.86,bottom,180
C94,-135.26,-132.25,bottom,0
C95,-152.81,-60.44,bottom,180
C96,-142.005,-62.11,bottom,180
C97,-170.74,-62.11,bottom,180
C98,-103.8775,-88.1,bottom,180
C99,-142.01,-60.59,bottom,180
C100,-170.74,-60.58,bottom,180
C121,-146.11,-132.25,bottom,0
C122,-163.2,-132.22,bottom,0
C123,-146.11,-130.79,bottom,0
C124,-163.2,-130.76,bottom,0
C125,-117.65,-132.25,bottom,0
C126,-124.82,-60.49,bottom,180
C127,-142.355,-85.6795,bottom,-90
C128,-140.895,-85.6795,bottom,-90
C129,-117.65,-130.72,bottom,0
C130,-124.82,-62,bottom,180
C132,-103.8825,-89.64,bottom,180
C136,-175.3065,-104.7146,bottom,180
C137,-181.29,-108.93,bottom,-90
C139,-185.77,-82.535,bottom,-90
C143,-183.37,-93.0925,bottom,180
C144,-185.77,-73.655,bottom,90
C145,-183.35,-91.56,bottom,180
C146,-176.45,-80.31,bottom,180
C149,-176.4175,-74.33,bottom,180
C151,-175.31,-110.82,bottom,180
C152,-176.28,-85.24,bottom,180
C153,-181.37,-105.5225,bottom,90
C154,-182.88,-105.54,bottom,-90
C155,-181.746631,-85.72,bottom,0
