"Source:","C:\Users\kharp\Desktop\School\2024\F2024\ELEC4498-CapstoneII\CAD\Ultrasonic Sound Steering - Control Rev. B\Ultrasonic Sound Steering - Control Rev. B.kicad_sch"
"Date:","3/18/2024 2:47:50 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","338"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C27, C40, C72, C75, C85, C90, C96, C97, C98, C123, C124, C127, C129, C130, C138, C165, C167, ","19","10µF","C","Custom:C_0603","Unpolarized capacitor",""
"C3, C4, C5, C7, C9, C11, C14, C17, C19, C20, C23, C34, C42, C43, C44, C45, C48, C50, C52, C54, C62, C86, C87, C91, C93, C94, C95, C99, C100, C102, C103, C111, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C125, C126, C128, C131, C132, C136, C137, C139, C142, C143, C146, C150, C151, C154, C155, C157, C158, C159, C164, C166, ","62","100nF","C","Custom:C_0603","Unpolarized capacitor",""
"C12, C13, C55, C56, C57, C58, ","6","2.2µF","C","Custom:C_0603","Unpolarized capacitor",""
"C15, C16, ","2","22nF","C","Custom:C_0603","Unpolarized capacitor",""
"C21, C47, C76, C77, C78, C83, C84, C144, C147, C148, C162, C163, ","12","10nF","C","Custom:C_0603","Unpolarized capacitor",""
"C22, ","1","1nF","C","Custom:C_0603","Unpolarized capacitor",""
"C24, C25, ","2","220pF","C","Custom:C_0603","Unpolarized capacitor",""
"C28, C29, ","2","220nF","C","Custom:C_0603","Unpolarized capacitor",""
"C30, C31, ","2","1.5nF","C","Custom:C_0603","Unpolarized capacitor",""
"C32, ","1","3.3nF","C","Custom:C_0603","Unpolarized capacitor",""
"C33, C46, C73, C74, ","4","1µF","C","Custom:C_0603","Unpolarized capacitor",""
"C36, C37, C38, C39, ","4","680pF","C","Custom:C_0603","Unpolarized capacitor",""
"C49, ","1","10nF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor",""
"C59, C61, ","2","150pF","C","Custom:C_0603","Unpolarized capacitor",""
"C68, C69, C70, C71, C101, C104, C105, C106, C107, C109, C110, C112, C133, C134, ","14","22µF","C","Custom:C_0603","Unpolarized capacitor",""
"C79, C80, C81, C82, C89, C141, ","6","47µF","C","Custom:C_0603","Unpolarized capacitor",""
"C152, ","1","33nF","C","Custom:C_0603","Unpolarized capacitor",""
"C160, C168, ","2","330pF","C","Custom:C_0603","Unpolarized capacitor",""
"C169, C170, C171, C172, ","4","68pF","C","Custom:C_0603","Unpolarized capacitor",""
"D1, D2, D4, ","3","MBR0520L","D_Schottky","Custom:D_SOD_123","Schottky diode",""
"D6, D7, D8, D9, D14, D15, D18, D19, D20, D22, D28, D29, ","12","ESD7351XV2T1G","D_TVS","Custom:D_SOD_523","Bidirectional transient-voltage-suppression diode",""
"D10, D11, D12, D13, D16, D17, D26, D27, ","8","CMOD4448","1N4149","Custom:D_SOD_523","75V Vrm 0.5A Ifsm standard switching diode, DO-35",""
"D23, D24, D25, ","3","LESD5D5.0CT1G","D_TVS","Custom:D_SOD_523","Bidirectional transient-voltage-suppression diode",""
"Q1, Q2, Q3, Q4, Q7, Q8, ","6","DMN65D8L","2N7002","Custom:T_SOT23","0.115A Id, 60V Vds, N-Channel MOSFET, SOT-23",""
"Q5, ","1","IRFTS9342TRPBF","IRFTS9342TRPBF","Custom:IC_SOT23-6","",""
"Q6, ","1","IRFTS8342TRPBF","IRFTS8342TRPBF","Custom:IC_SOT23-6","",""
"R1, R3, R54, R55, ","4","100kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R5, R8, R19, R44, R52, R60, R64, R67, R72, R76, R77, R78, R79, R80, R103, R107, R108, R109, R110, R111, R112, R113, R114, R118, R119, R120, R126, ","27","0Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R6, ","1","20kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R7, R16, R17, R53, R74, R75, R88, R92, R93, R94, R95, R96, R97, R100, R101, ","15","1kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R9, R10, R11, R56, R57, R121, ","6","5.1kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R12, R14, R27, R28, R41, R42, R43, R81, R87, R104, R105, ","11","10kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R20, R21, R90, R122, ","4","50Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R23, ","1","68Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R24, R25, ","2","2kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R26, R58, ","2","2.2kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R29, R30, R31, R32, R35, R36, R39, R40, ","8","3.9kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R33, R34, R37, R38, ","4","15kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R45, R47, ","2","3.57kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R46, R48, ","2","1.15kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R49, ","1","10Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R50, R62, R66, R68, R69, R82, R84, R85, R89, R91, R123, R124, R125, R127, R128, R131, R132, ","17","4.7kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R51, ","1","180Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R59, R63, ","2","1.2kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R61, R65, R83, R86, R98, R99, R106, ","7","100Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R70, ","1","22.1kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R73, ","1","47.5kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"R102, R115, R116, R117, ","4","33Ω","R_US","Custom:R_0603","Resistor, US symbol",""
"R129, R130, ","2","68kΩ","R_US","Custom:R_0603","Resistor, US symbol",""
"RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, ","8","YC248-JR-073K3L","R_Pack08","Custom:R_ARR_1606_CONVEX","8 resistor network, parallel topology",""
"U3, ","1","TS472IQT","TS472IQT","Custom:IC_QFN-24_EP_4X4","",""
"U5, U6, ","2","ADA4940-2ACPZ-R7","ADA4940-2ACPZ-R7_3","Custom:IC_QFN-24_LFCSP_EP_4X4","",""
"U7, U8, ","2","TPS7A9201DSKT","TPS7A9101DSKR","Custom:IC_SON-10_EP_2.5X2.5","",""
"U9, ","1","MAX4866LEUT","MAX4866LEUT_","Custom:IC_SOT23-6","",""
"U10, ","1","REF3430TIDBVR","REF3430TIDBVR_2","Custom:IC_SOT23-6","",""
"U11, ","1","MIC29502WU","MIC29302AWD-TR","Custom:IC_TO263-5","",""
"U12, ","1","CP2102N-A02-GQFN28","CP2102N-Axx-xQFN28","Custom:IC_QFN-28_EP_5x5","USB to UART master bridge, QFN-28",""
"U13, U14, U15, U16, U18, U19, U20, U21, ","8","SN74LVC540APWR","SN74LVC540APWR_2","Custom:IC_TSSOP-20_0.65P","",""
"U22, ","1","ESP32-WROOM-32U","ESP32-WROOM-32D","Custom:IC_ESP32-WROOM32U","",""
"U23, ","1","TLV9162DGK","OPA1692xDGK","Custom:IC_VSSOP-8_0.65P","Dual SoundPlus Low Power, Low Noise & Low Distortion Audio Operational Amplifiers, VSSOP-8",""
"U24, ","1","LTC1550LCMS8-2","LTC1550LCMS8-2-PBF","Custom:IC_MSOP-8_3x3mm_P0.65","",""
"U25, ","1","SN74LVC1G32DBVR","74LVC1G32","Custom:IC_SOT23-5","Single OR Gate, Low-Voltage CMOS",""
"U26, U27, ","2","SN74LVC1G14DBVR","74LVC1G14_1","Custom:IC_SOT23-5","Single Schmitt NOT Gate, Low-Voltage CMOS",""
"U28, ","1","AD4680BCPZ-RL7","AD4680BCPZ-RL7","Custom:IC_QFN-16_LFCSP_EP_3X3","",""
