Designator,Footprint,Quantity,Value,LCSC Part #
"_93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,93,,
"C1, C128, C35, C36, C51, C52",CP_EIA-3216-18_Kemet-A,6,10µF,
"C10, C11",0603,2,100pF,
"C100, C102, C107, C108, C119, C121, C124, C126, C127, C130, C69, C70, C71, C72",0603,14,22µF,
"C101, C104, C105, C106, C109, C110, C113, C116, C117, C118, C120, C122, C123, C125, C129, C131, C132, C135, C16, C28, C32, C40, C41, C42, C45, C49, C50, C57, C58, C6, C61, C63, C64, C66, C76, C8, C86, C89, C90, C91, C93, C94, C97, C98, C99",0603,45,100nF,
"C103, C111, C112, C114, C115, C12, C133, C134, C17, C4, C56, C62, C65, C92, C95, C96",0603,16,10µF,
C13,0603,1,1nF,
"C14, C15",0603,2,680nF,
C18,0603,1,680pF,
"C19, C20",0603,2,1.5nF,
"C2, C3",0603,2,68nF,
"C21, C22, C23, C24, C33, C34",0603,6,470pF,
"C25, C29, C39, C43, C77, C78, C9",0603,7,10nF,
"C26, C27, C30, C31, C5, C7",0603,6,6.8µF,
"C37, C38",0603,2,150pF,
"C44, C48",0603,2,330pF,
"C46, C47, C53, C54",0603,4,68pF,
"C55, C59, C60, C73, C74, C85",0603,6,1µF,
"C67, C68",CP_EIA-3528-21_Kemet-B,2,47µF,
C75,0603,1,47nF,
"C79, C87",CP_EIA-3528-21_Kemet-B,2,100µF,
"C80, C81, C82, C83, C84, C88",0603,6,47µF,
"D1, D2, D4",D_SOD-123,3,MBR0520L,
"D3, D8, D9",1206,3,LED,
"D5, D6, D7",D_SOD-523,3,LESD5D5.0CT1G,
"P1, P2, P3, P4, P5, P6, P7, P8",PinSocket_2x08_P2.54mm_Vertical,8,Conn_02x08_Odd_Even,
P10,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04,
P11,CUI_SJ1-42516,1,SJ1-42516,
P12,CUI_PJ-051BH,1,PJ-051BH,
P13,USB_Micro-B_Molex-105017-0001_Alt,1,USB_Micro-B_Molex-105017,
P14,CON_1053131103,1,Molex 1053131103,
P9,CUI_SJ1-3524NG,1,SJ1-3524NG,
"Q1, Q2, Q3, Q4",DMP3099L-7_DIO,4,DMN65D8L,
"R1, R2, R4, R44, R45, R7, R77, R9",0603,8,100kΩ,
"R10, R11",0603,2,2kΩ,
R12,0603,1,1.2kΩ,
"R13, R14, R53, R54, R67",0603,5,10kΩ,
"R15, R16, R17, R18, R21, R22, R25, R26, R55, R56, R64, R68, R71, R76",0603,14,4.7kΩ,
"R19, R20, R23, R24",0603,4,9.1kΩ,
"R27, R28, R29, R30, R31, R32, R33, R34, R40, R5, R52, R6, R62, R63",0603,14,1kΩ,
"R3, R57, R58, R59, R72, R73, R74, R75, R80, R81, R82, R83, R84, R85, R86",0603,15,0Ω,
"R35, R36, R37, R38",0603,4,33Ω,
R39,0603,1,13kΩ,
"R41, R42, R65, R66, R69, R70",0603,6,100Ω,
R43,0603,1,50Ω,
"R46, R48",0603,2,3.57kΩ,
"R47, R49",0603,2,1.15kΩ,
R50,0603,1,180Ω,
R51,0603,1,2.2kΩ,
R60,0603,1,22.1kΩ,
R61,0603,1,47.5kΩ,
"R78, R79",0402,2,0Ω,
R8,0603,1,68Ω,
SW1,CUS-12TB_NDC,1,CUS-12TB,
U1,QFN_72IQT_STM,1,TS472IQT,
U10,DBV0006A_N,1,REF3430TIDBVR,
U11,VSSOP-8_3.0x3.0mm_P0.65mm,1,OPA2837xDGK,
"U12, U13, U15, U16, U19, U20, U21, U22",PW20-L,8,SN74LVC540APWR,
U17,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U18,MODULE_ESP32-WROOM-32D,1,ESP32-WROOM-32D,
"U2, U6",DBV6_TEX,2,OPA837IDBVT,
"U3, U4",QFN50P400X400X80-25N,2,ADA4940-2ACPZ-R7,
U5,CP-16-45_ADI,1,AD4680BCPZ-RL7,
"U7, U8",SON50P250X250X80-11N,2,TPS7A9201DSKT,
U9,TO-263-5_TabPin6,1,MIC29502AWD-TR,
