Designator,Mid X,Mid Y,Rotation,Layer
_93,253.96,-110.6,0.0,top
_92,252.1025,-110.6125,0.0,top
_91,251.85,-58.225,0.0,top
_90,255.01,-107.015,0.0,top
_89,252.91,-114.76,0.0,top
_88,255.6,-114.93,0.0,top
_87,257.81,-111.605,0.0,top
_86,252.1025,-109.4075,0.0,top
_85,252.1025,-111.6125,0.0,top
_84,258.75,-108.21,0.0,top
_83,171.19,-75.245,0.0,top
_82,259.72,-115.185,0.0,top
_81,259.72,-110.585,0.0,top
_80,253.03,-107.005,0.0,top
_79,258.75,-111.605,0.0,top
_78,254.675,-58.225,0.0,top
_77,253.26,-58.2,0.0,top
_76,251.18,-110.61,0.0,top
_75,171.19,-73.41,0.0,top
_74,258.75,-112.81,0.0,top
_73,250.23,-107.015,0.0,top
_72,245.1,-76.3,0.0,top
_71,256.8925,-112.8225,0.0,top
_70,250.22,-109.405,0.0,top
_69,259.71,-106.99,0.0,top
_68,267.15,-67.85,0.0,top
_67,252.1125,-107.0175,0.0,top
_66,252.1125,-108.2225,0.0,top
_65,244.425,-75.625,0.0,top
_64,250.23,-108.22,0.0,top
_63,258.625,-75.425,0.0,top
_62,254.29,-113.41,0.0,top
_61,257.82,-109.395,0.0,top
_60,257.81,-108.21,0.0,top
_59,257.81,-112.81,0.0,top
_58,254.96,-114.17,0.0,top
_57,250.22,-111.61,0.0,top
_56,259.71,-108.195,0.0,top
_55,253.02,-110.6,0.0,top
_54,259.72,-109.38,0.0,top
_53,257.82,-113.995,0.0,top
_52,257.82,-110.6,0.0,top
_51,253.03,-108.21,0.0,top
_50,255.98,-110.61,0.0,top
_49,256.8925,-111.6175,0.0,top
_48,255.98,-111.61,0.0,top
_47,257.225,-76.875,0.0,top
_46,169.355,-73.41,0.0,top
_45,260.05,-76.875,0.0,top
_44,257.81,-107.005,0.0,top
_43,267.15,-66.645,0.0,top
_42,169.355,-75.245,0.0,top
_41,259.71,-111.59,0.0,top
_40,253.97,-107.005,0.0,top
_39,251.19,-108.22,0.0,top
_38,255.97,-108.22,0.0,top
_37,253.25,-59.6,0.0,top
_36,244.425,-76.3,0.0,top
_35,258.635,-76.85,0.0,top
_34,258.76,-115.2,0.0,top
_33,253.02,-109.395,0.0,top
_32,255.02,-111.61,0.0,top
_31,259.71,-112.795,0.0,top
_30,258.75,-107.005,0.0,top
_29,266.21,-67.85,0.0,top
_28,251.18,-111.61,0.0,top
_27,258.76,-109.395,0.0,top
_26,252.34,-114.04,0.0,top
_25,255.97,-107.015,0.0,top
_24,251.18,-109.405,0.0,top
_23,258.76,-113.995,0.0,top
_22,251.19,-107.015,0.0,top
_21,253.96,-111.6,0.0,top
_20,253.02,-111.6,0.0,top
