Designator,Mid X,Mid Y,Layer,Rotation
C68,-297.99,-118.55,bottom,-90
C69,-301.62,-118.55,bottom,-90
C70,-308.02,-123.88,bottom,90
C71,-310.1,-123.88,bottom,90
C72,-301.38,-97.77,bottom,0
C73,-301.38,-96.3075,bottom,0
C74,-295.89,-93.5875,bottom,90
C76,-297.35,-90.6275,bottom,90
C77,-297.39,-93.5875,bottom,-90
C78,-303.775,-109.15,bottom,0
C81,-303.775,-113.95,bottom,0
C84,-301.38,-88.9175,bottom,0
C85,-308.525,-79.51,bottom,90
C88,-303.72,-79.51,bottom,90
C89,-299.53,-76.6,bottom,180
C90,-299.53,-74.64,bottom,180
D1,-199.45,-95.01,bottom,90
D3,-203.875,-95,bottom,90
D4,-208.4,-95,bottom,90
D5,-305.005,-87.5025,bottom,-90
F1,-298.3466,-124.36,bottom,-90
J1,-291.72,-64.721787,bottom,0
J2,-281.72,-64.721787,bottom,180
J3,-271.72,-64.721787,bottom,0
J4,-261.72,-64.721787,bottom,180
J5,-251.72,-64.721787,bottom,0
J6,-241.72,-64.721787,bottom,180
J7,-231.72,-64.721787,bottom,0
J8,-221.72,-64.721787,bottom,180
J9,-286.72,-73.382041,bottom,0
J10,-276.72,-73.382041,bottom,180
J11,-266.72,-73.382041,bottom,0
J12,-256.72,-73.382041,bottom,180
J13,-246.72,-73.382041,bottom,0
J14,-236.72,-73.382041,bottom,180
J15,-226.72,-73.382041,bottom,0
J16,-216.72,-73.382041,bottom,180
J17,-291.72,-82.042295,bottom,0
J18,-281.72,-82.042295,bottom,180
J19,-271.72,-82.042295,bottom,0
J20,-261.72,-82.042295,bottom,180
J21,-251.72,-82.042295,bottom,0
J22,-241.72,-82.042295,bottom,180
J23,-231.72,-82.042295,bottom,0
J24,-221.72,-82.042295,bottom,180
J25,-286.72,-90.702549,bottom,0
J26,-276.72,-90.702549,bottom,180
J27,-266.72,-90.702549,bottom,0
J28,-256.72,-90.702549,bottom,180
J29,-246.72,-90.702549,bottom,0
J30,-236.72,-90.702549,bottom,180
J31,-226.72,-90.702549,bottom,0
J32,-216.72,-90.702549,bottom,180
J33,-291.72,-99.354721,bottom,0
J34,-281.72,-99.354721,bottom,180
J35,-271.72,-99.354721,bottom,0
J36,-261.72,-99.354721,bottom,180
J37,-251.72,-99.354721,bottom,0
J38,-241.72,-99.354721,bottom,180
J39,-231.72,-99.354721,bottom,0
J40,-221.72,-99.354721,bottom,180
J41,-286.72,-108.014975,bottom,0
J42,-276.72,-108.014975,bottom,180
J43,-266.72,-108.014975,bottom,0
J44,-256.72,-108.014975,bottom,180
J45,-246.72,-108.014975,bottom,0
J46,-236.72,-108.014975,bottom,180
J47,-226.72,-108.014975,bottom,0
J48,-216.72,-108.014975,bottom,180
J49,-291.72,-116.675229,bottom,0
J50,-281.72,-116.675229,bottom,180
J51,-271.72,-116.675229,bottom,0
J52,-261.72,-116.675229,bottom,180
J53,-251.72,-116.675229,bottom,0
J54,-241.72,-116.675229,bottom,180
J55,-231.72,-116.675229,bottom,0
J56,-221.72,-116.675229,bottom,180
J57,-286.71,-125.3285,bottom,0
J58,-276.72,-125.335483,bottom,180
J59,-266.72,-125.335483,bottom,0
J60,-256.72,-125.335483,bottom,180
J61,-246.72,-125.335483,bottom,0
J62,-236.72,-125.335483,bottom,180
J63,-226.72,-125.335483,bottom,0
J64,-216.72,-125.335483,bottom,180
L1,-309.93,-119.24,bottom,90
L2,-307.243,-94.8414,bottom,90
L3,-299.03,-80.3,bottom,90
NTC1,-307.86,-88.24,bottom,90
NTC1_ALT1,-309.79,-89.1,bottom,90
P14,-305.085,-133.12,bottom,-90
R18,-295.93,-90.6275,bottom,90
R23,-298.42,-96.31,bottom,0
R24,-301.38,-90.3775,bottom,180
R29,-301.38,-87.4975,bottom,0
R30,-296.66,-87.5,bottom,0
U34,-299.81,-119.29,bottom,90
U36,-300.86,-93.09,bottom,90
U37,-304.5,-95,bottom,90
C1,287.55,-66.475,top,-90
C2,286,-66.475,top,-90
C3,267.55,-66.475,top,-90
C4,266,-66.475,top,-90
C5,247.55,-66.475,top,-90
C6,246,-66.475,top,-90
C7,227.55,-66.475,top,-90
C8,226,-66.475,top,-90
C9,282.6,-75.05,top,-90
C10,281.05,-75.05,top,-90
C11,262.6,-75.05,top,-90
C12,261.05,-75.05,top,-90
C13,242.6,-75.05,top,-90
C14,241.05,-75.05,top,-90
C15,222.6,-75.05,top,-90
C16,221.05,-75.05,top,-90
C17,287.55,-83.825,top,-90
C18,286,-83.825,top,-90
C19,267.55,-83.825,top,-90
C20,266,-83.825,top,-90
C21,247.55,-83.825,top,-90
C22,246,-83.825,top,-90
C23,227.55,-83.825,top,-90
C24,226,-83.825,top,-90
C25,282.6,-92.4,top,-90
C26,281.05,-92.4,top,-90
C27,262.6,-92.4,top,-90
C28,261.05,-92.4,top,-90
C29,242.6,-92.4,top,-90
C30,241.05,-92.4,top,-90
C31,222.6,-92.4,top,-90
C32,221.05,-92.4,top,-90
C33,287.55,-101.175,top,-90
C34,286,-101.175,top,-90
C35,267.55,-101.175,top,-90
C36,266,-101.175,top,-90
C37,247.55,-101.175,top,-90
C38,246,-101.175,top,-90
C39,227.55,-101.175,top,-90
C40,226,-101.175,top,-90
C41,282.6,-109.75,top,-90
C42,281.05,-109.75,top,-90
C43,262.6,-109.75,top,-90
C44,261.05,-109.75,top,-90
C45,242.6,-109.75,top,-90
C46,241.05,-109.75,top,-90
C47,222.6,-109.75,top,-90
C48,221.05,-109.75,top,-90
C49,287.55,-118.525,top,-90
C50,286,-118.525,top,-90
C51,267.55,-118.525,top,-90
C52,266,-118.525,top,-90
C53,247.55,-118.525,top,-90
C54,246,-118.525,top,-90
C55,227.55,-118.525,top,-90
C56,226,-118.525,top,-90
C57,282.6,-127.1,top,-90
C58,281.05,-127.1,top,-90
C59,262.6,-127.1,top,-90
C60,261.05,-127.1,top,-90
C61,242.6,-127.1,top,-90
C62,241.05,-127.1,top,-90
C63,222.6,-127.1,top,-90
C64,221.05,-127.1,top,-90
C65,301.7625,-59.675,top,180
C66,298.09,-63.19,top,90
C67,299.55,-63.19,top,90
C75,307.66,-89.67,top,90
C79,304.08,-99.07,top,90
C80,302.64,-99.07,top,90
C82,230.47,-138.53,top,90
C83,296.975,-99.05,top,-90
C86,299.63,-131.83,top,-90
C87,301.09,-131.83,top,-90
D2,304.5125,-58.3575,top,90
P1,298.905,-52.84,top,-90
P2,275.12,-52.84,top,-90
P3,251.2975,-52.84,top,-90
P4,227.405,-52.84,top,-90
P5,281.125,-137.16,top,90
P6,257.34,-137.16,top,90
P7,233.5175,-137.16,top,90
P8,209.625,-137.16,top,90
P9,206.56,-106.735,top,-90
P10,206.56,-113.635,top,-90
P11,299.59,-66,top,0
P12,206.56,-120.54,top,-90
P13,302.09,-124.255,top,90
Q1,205.949334,-98.399999,top,90
Q2,292.73,-107.8015,top,180
Q3,292.73,-112.08,top,180
Q4,205.94975,-91.400251,top,90
Q5,292.690001,-121.69,top,0
Q6,292.68,-127.175,top,0
R1,199.882832,-91.538004,top,90
R2,199.88,-94.555,top,-90
R3,208.97225,-98.599999,top,-90
R4,210.57775,-98.599999,top,-90
R5,301.7625,-56.7575,top,0
R6,301.765,-58.2175,top,0
R7,295.33,-103.47,top,-90
R8,295.33,-106.53,top,-90
R9,304.48,-53.855,top,-90
R10,201.41,-91.53,top,-90
R11,201.41,-94.55,top,-90
R12,295.33,-109.6015,top,90
R13,295.33,-112.705,top,-90
R14,202.932832,-91.538004,top,-90
R15,202.94,-94.56,top,-90
R16,208.99975,-91.550251,top,90
R17,305.43,-90.43,top,180
R19,298.91,-106.67,top,0
R20,298.91,-105.21,top,0
R21,306.11,-103.752,top,180
R22,295.48,-96.035,top,-90
R25,306.11,-105.2095,top,180
R26,288.65,-122.3155,top,-90
R27,290.07,-122.3155,top,90
R28,295.280001,-122.3245,top,90
R31,288.64,-127.825,top,-90
R32,290.07,-127.825,top,90
R33,295.26,-127.815,top,90
R34,303.745,-129.475,top,180
R35,303.745,-127.97,top,0
SW1,307.92,-56.79,top,90
U1,286.7,-61.05,top,-90
U2,266.7,-61.05,top,-90
U3,246.7,-61.05,top,-90
U4,226.7,-61.05,top,-90
U5,281.755,-69.599459,top,-90
U6,261.755,-69.599459,top,-90
U7,241.755,-69.599459,top,-90
U8,221.755,-69.616,top,-90
U9,286.72,-78.223049,top,-90
U10,266.718274,-78.220681,top,-90
U11,246.718274,-78.220681,top,-90
U12,226.70202,-78.22052,top,-90
U13,281.755,-86.906508,top,-90
U14,261.753274,-86.90414,top,-90
U15,241.753274,-86.90414,top,-90
U16,221.73702,-86.903979,top,-90
U17,286.70202,-95.541028,top,-90
U18,266.70202,-95.541028,top,-90
U19,246.70202,-95.541028,top,-90
U20,226.70202,-95.541028,top,-90
U21,281.73702,-104.224487,top,-90
U22,261.73702,-104.224487,top,-90
U23,241.73702,-104.224487,top,-90
U24,221.73702,-104.224487,top,-90
U25,286.70202,-112.861536,top,-90
U26,266.70202,-112.861536,top,-90
U27,246.70202,-112.861536,top,-90
U28,226.70202,-112.861536,top,-90
U29,281.73702,-121.544995,top,-90
U30,261.73702,-121.544995,top,-90
U31,241.73702,-121.544995,top,-90
U32,221.73702,-121.544995,top,-90
U33,301.9675,-62.625,top,-90
U35,299.8,-100.8,top,-90
U38,303.54,-132.4,top,90
