Comment,Designator,Footprint,JLCPCB Part #?optional?
4.7µF,"C1, C3, C5, C7, C9, C11, C13, C15, C17, C19, C21, C23, C25, C27, C29, C31, C33, C35, C37, C39, C41, C43, C45, C47, C49, C51, C53, C55, C57, C59, C61, C63, ",Custom:C_0603,C711100
100nF,"C2, C4, C6, C8, C10, C12, C14, C16, C18, C20, C22, C24, C26, C28, C30, C32, C34, C36, C38, C40, C42, C44, C46, C48, C50, C52, C54, C56, C58, C60, C62, C64, C67, C73, C74, C75, C80, C86, ",Custom:C_0603,C14663
10uF,C79,Custom:C_0603,C237435
1µF,"C65, C66, C82, C83, C87, ",Custom:C_0603,C466771
100pF,"C76, C84",Custom:C_0603,C14858
47nF,"C77, ",Custom:C_0603,C1622
"BAT54H,115","D2, ",Custom:D_SOD_123F,C426766
DMN65D8L,"Q1, Q2, Q4, Q5, Q6, ",Custom:T_SOT23,C155341
DMP3099L,"Q3, ",Custom:T_SOT23,C155244
1.2k?,"R1, ",Custom:R_0603,C22765
0?,"R2, R11, R15, R22, ",Custom:R_0603,C3016185
100?,"R3, R8, R16, R27, R32, ",Custom:R_0603,C269700
4.7k?,"R4, R7, R12, R13, R19, R20, R26, R28, R31, R33, R34, R35, ",Custom:R_0603,C23162
10k?,"R5, R6, R30, ",Custom:R_0603,C25804
180?,"R10, R14, ",Custom:R_0603,C137786
20k?,"R17, ",Custom:R_0603,C4184
2.55k?,"R18, ",Custom:R_0603,C25965
78.7k?,"R24, ",Custom:R_0603,C23109
150k?,"R29, ",Custom:R_0603,C22807
SN74LVC1G14DBVR,"U33, ",Custom:IC_SOT23-5,C434069
AD5272BRMZ-50-RL7,"U35, ",Custom:IC_MSOP-10_0.65P,C649483
TPS55340RTER,"U36, ",Custom:IC_WQFN-16_EP_3x3,C169167
SN74LVC1G02DBVR,"U38, ",Custom:IC_SOT23-5,C16360
