Ref,Val,Package,PosX,PosY,Rot,Side
"C68","10µF","C_0805_2012Metric",-297.990000,-118.550000,-90.000000,bottom
"C69","GMC21X5R226M35NT","C_0805",-302.320000,-118.550000,-90.000000,bottom
"C70","GMC21X5R226M35NT","C_0805_2012Metric",-308.020000,-123.880000,90.000000,bottom
"C71","GMC21X5R226M35NT","C_0805_2012Metric",-310.100000,-123.880000,90.000000,bottom
"C72","10µF","C_0603",-301.380000,-97.770000,0.000000,bottom
"C73","100nF","C_0603",-301.380000,-96.307500,0.000000,bottom
"C74","100nF","C_0603",-295.890000,-93.587500,90.000000,bottom
"C76","100pF","C_0603",-297.350000,-90.627500,90.000000,bottom
"C77","47nF","C_0603",-297.390000,-93.587500,-90.000000,bottom
"C78","T59EE157M030C0075","CAP_TANT_POLY_7343",-303.775000,-109.150000,0.000000,bottom
"C81","T59EE157M030C0075","CAP_TANT_POLY_7343",-303.775000,-113.950000,0.000000,bottom
"C84","100pF","C_0603",-301.380000,-88.917500,0.000000,bottom
"C85","T59EE157M030C0075","CAP_TANT_POLY_7343",-308.525000,-79.510000,90.000000,bottom
"C88","T59EE157M030C0075","CAP_TANT_POLY_7343",-303.720000,-79.510000,90.000000,bottom
"C89","GMC21X5R226M35NT","C_0805_2012Metric",-299.530000,-76.600000,180.000000,bottom
"C90","GMC21X5R226M35NT","C_0805_2012Metric",-299.530000,-74.640000,180.000000,bottom
"D1","BL-HB333Q-AV-TRB","LED_1206_3216Metric",-199.450000,-95.010000,90.000000,bottom
"D3","150120VS75000","LED_1206_3216Metric",-203.875000,-95.000000,90.000000,bottom
"D4","150120VS75000","LED_1206_3216Metric",-208.400000,-95.000000,90.000000,bottom
"D5","LS56","D_DO-221AC",-305.005000,-87.502500,-90.000000,bottom
"F1","0157003.DR","F_0157_SMD2",-298.346600,-124.360000,-90.000000,bottom
"J1","MSO-P1040H07T","XDCR_MA40S4S",-291.720000,-64.721787,0.000000,bottom
"J2","MSO-P1040H07T","XDCR_MA40S4S",-281.720000,-64.721787,180.000000,bottom
"J3","MSO-P1040H07T","XDCR_MA40S4S",-271.720000,-64.721787,0.000000,bottom
"J4","MSO-P1040H07T","XDCR_MA40S4S",-261.720000,-64.721787,180.000000,bottom
"J5","MSO-P1040H07T","XDCR_MA40S4S",-251.720000,-64.721787,0.000000,bottom
"J6","MSO-P1040H07T","XDCR_MA40S4S",-241.720000,-64.721787,180.000000,bottom
"J7","MSO-P1040H07T","XDCR_MA40S4S",-231.720000,-64.721787,0.000000,bottom
"J8","MSO-P1040H07T","XDCR_MA40S4S",-221.720000,-64.721787,180.000000,bottom
"J9","MSO-P1040H07T","XDCR_MA40S4S",-286.720000,-73.382041,0.000000,bottom
"J10","MSO-P1040H07T","XDCR_MA40S4S",-276.720000,-73.382041,180.000000,bottom
"J11","MSO-P1040H07T","XDCR_MA40S4S",-266.720000,-73.382041,0.000000,bottom
"J12","MSO-P1040H07T","XDCR_MA40S4S",-256.720000,-73.382041,180.000000,bottom
"J13","MSO-P1040H07T","XDCR_MA40S4S",-246.720000,-73.382041,0.000000,bottom
"J14","MSO-P1040H07T","XDCR_MA40S4S",-236.720000,-73.382041,180.000000,bottom
"J15","MSO-P1040H07T","XDCR_MA40S4S",-226.720000,-73.382041,0.000000,bottom
"J16","MSO-P1040H07T","XDCR_MA40S4S",-216.720000,-73.382041,180.000000,bottom
"J17","MSO-P1040H07T","XDCR_MA40S4S",-291.720000,-82.042295,0.000000,bottom
"J18","MSO-P1040H07T","XDCR_MA40S4S",-281.720000,-82.042295,180.000000,bottom
"J19","MSO-P1040H07T","XDCR_MA40S4S",-271.720000,-82.042295,0.000000,bottom
"J20","MSO-P1040H07T","XDCR_MA40S4S",-261.720000,-82.042295,180.000000,bottom
"J21","MSO-P1040H07T","XDCR_MA40S4S",-251.720000,-82.042295,0.000000,bottom
"J22","MSO-P1040H07T","XDCR_MA40S4S",-241.720000,-82.042295,180.000000,bottom
"J23","MSO-P1040H07T","XDCR_MA40S4S",-231.720000,-82.042295,0.000000,bottom
"J24","MSO-P1040H07T","XDCR_MA40S4S",-221.720000,-82.042295,180.000000,bottom
"J25","MSO-P1040H07T","XDCR_MA40S4S",-286.720000,-90.702549,0.000000,bottom
"J26","MSO-P1040H07T","XDCR_MA40S4S",-276.720000,-90.702549,180.000000,bottom
"J27","MSO-P1040H07T","XDCR_MA40S4S",-266.720000,-90.702549,0.000000,bottom
"J28","MSO-P1040H07T","XDCR_MA40S4S",-256.720000,-90.702549,180.000000,bottom
