Designator,Mid X,Mid Y,Layer,Rotation,,,,,,,,,,,,,,,
C1,-119.58497,-88.389962,bottom,0,,,,,,,,,,,,,,,
C10,-150.815,-52.355,bottom,-90,,,,,,,,,,,,,,,
C11,-152.275,-52.355,bottom,-90,,,,,,,,,,,,,,,
C12,-135.76,-91.33,bottom,180,,,,,,,,,,,,,,,
C13,-135.76,-89.85,bottom,0,,,,,,,,,,,,,,,
C14,-142.735,-55.99,bottom,-90,,,,,,,,,,,,,,,
C16,-142.735,-52.96,bottom,-90,,,,,,,,,,,,,,,
C18,-181.14,-74.19,bottom,90,,,,,,,,,,,,,,,
C19,-140.9275,-104.86125,bottom,-90,,,,,,,,,,,,,,,
C22,-190.9875,-74.185,bottom,90,,,,,,,,,,,,,,,
C23,-189.4575,-74.195,bottom,90,,,,,,,,,,,,,,,
C24,-187.93,-74.19,bottom,90,,,,,,,,,,,,,,,
C25,-186.4,-74.19,bottom,90,,,,,,,,,,,,,,,
C26,-125.09,-104.855,bottom,-90,,,,,,,,,,,,,,,
C27,-184.54,-75.01,bottom,-90,,,,,,,,,,,,,,,
C28,-159.485532,-87.375,bottom,-90,,,,,,,,,,,,,,,
C29,-159.499999,-79.405,bottom,-90,,,,,,,,,,,,,,,
C30,-166.98,-86.69,bottom,0,,,,,,,,,,,,,,,
C31,-166.98,-78.78,bottom,0,,,,,,,,,,,,,,,
C32,-167.72,-82.975,bottom,90,,,,,,,,,,,,,,,
C33,-166.23,-82.975,bottom,90,,,,,,,,,,,,,,,
C34,-167.73,-75.09,bottom,90,,,,,,,,,,,,,,,
C35,-166.23,-75.089999,bottom,90,,,,,,,,,,,,,,,
C38,-170.75,-87.4,bottom,-90,,,,,,,,,,,,,,,
C39,-178.27,-86.71,bottom,0,,,,,,,,,,,,,,,
C40,-179.02,-82.985,bottom,90,,,,,,,,,,,,,,,
C41,-177.52,-82.985,bottom,90,,,,,,,,,,,,,,,
D5,-143.735,-49.55,bottom,0,,,,,,,,,,,,,,,
D6,-148.735,-49.55,bottom,180,,,,,,,,,,,,,,,
D8,-146.235,-49.55,bottom,0,,,,,,,,,,,,,,,
D14,-139.45,-102.12125,bottom,180,,,,,,,,,,,,,,,
D17,-123.6125,-102.13,bottom,180,,,,,,,,,,,,,,,
P2,-117.572114,-77.216461,bottom,0,,,,,,,,,,,,,,,
P4,-187.97,-86.48,bottom,0,,,,,,,,,,,,,,,
P5,-160.7,-49.35,bottom,0,,,,,,,,,,,,,,,
P6,-147.585,-46.12,bottom,0,,,,,,,,,,,,,,,
P7,-187.97,-80.98,bottom,0,,,,,,,,,,,,,,,
P8,-169.49,-108.51,bottom,0,,,,,,,,,,,,,,,
Q1,-180.0355,-100.12,bottom,90,,,,,,,,,,,,,,,
Q2,-145.715,-52.02,bottom,-90,,,,,,,,,,,,,,,
Q3,-145.725,-55.89,bottom,-90,,,,,,,,,,,,,,,
Q4,-180.0305,-107.175001,bottom,90,,,,,,,,,,,,,,,
Q5,-174.1005,-74.394999,bottom,-90,,,,,,,,,,,,,,,
Q6,-117.81,-56.825,bottom,-90,,,,,,,,,,,,,,,
Q7,-117.8205,-60.875,bottom,-90,,,,,,,,,,,,,,,
Q8,-111.815,-60.825001,bottom,-90,,,,,,,,,,,,,,,
R1,-108.05,-104.855,bottom,-90,,,,,,,,,,,,,,,
R2,-130.61,-108.295,bottom,-90,,,,,,,,,,,,,,,
R3,-116.60997,-88.389962,bottom,180,,,,,,,,,,,,,,,
R4,-145.85,-108.305,bottom,-90,,,,,,,,,,,,,,,
R5,-156.81,-100.3,bottom,90,,,,,,,,,,,,,,,
R6,-172.81,-100.3,bottom,90,,,,,,,,,,,,,,,
R9,-190.106831,-96.27,bottom,180,,,,,,,,,,,,,,,
R10,-187.055,-96.27,bottom,180,,,,,,,,,,,,,,,
R11,-153.72,-46.34,bottom,90,,,,,,,,,,,,,,,
