Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nF","C_0603_1608Metric",-119.584970,-88.389962,0.000000,bottom
"C10","10µF","C_0603_1608Metric",-150.815000,-52.355000,-90.000000,bottom
"C11","100nF","C_0603_1608Metric",-152.275000,-52.355000,-90.000000,bottom
"C12","10µF","C_0603_1608Metric",-135.760000,-91.330000,180.000000,bottom
"C13","100nF","C_0603_1608Metric",-135.760000,-89.850000,0.000000,bottom
"C14","100nF","C_0603_1608Metric",-142.735000,-55.990000,-90.000000,bottom
"C16","100nF","C_0603_1608Metric",-142.735000,-52.960000,-90.000000,bottom
"C18","100nF","C_0603_1608Metric",-181.140000,-74.190000,90.000000,bottom
"C19","1µF","C_0603_1608Metric",-140.927500,-104.861250,-90.000000,bottom
"C22","100nF","C_0603_1608Metric",-190.987500,-74.185000,90.000000,bottom
"C23","100nF","C_0603_1608Metric",-189.457500,-74.195000,90.000000,bottom
"C24","22µF","C_0603_1608Metric",-187.930000,-74.190000,90.000000,bottom
"C25","22µF","C_0603_1608Metric",-186.400000,-74.190000,90.000000,bottom
"C26","1µF","C_0603_1608Metric",-125.090000,-104.855000,-90.000000,bottom
"C27","47µF","CP_EIA-3216-18_Kemet-A",-184.540000,-75.010000,-90.000000,bottom
"C28","100nF","C_0603_1608Metric",-159.485532,-87.375000,-90.000000,bottom
"C29","100nF","C_0603_1608Metric",-159.499999,-79.405000,-90.000000,bottom
"C30","100nF","C_0603_1608Metric",-166.980000,-86.690000,0.000000,bottom
"C31","100nF","C_0603_1608Metric",-166.980000,-78.780000,0.000000,bottom
"C32","10µF","CP_EIA-1608-10_AVX-L",-167.720000,-82.975000,90.000000,bottom
"C33","100nF","C_0603_1608Metric",-166.230000,-82.975000,90.000000,bottom
"C34","10µF","CP_EIA-1608-10_AVX-L",-167.730000,-75.090000,90.000000,bottom
"C35","100nF","C_0603_1608Metric",-166.230000,-75.089999,90.000000,bottom
"C38","100nF","C_0603_1608Metric",-170.750000,-87.400000,-90.000000,bottom
"C39","100nF","C_0603_1608Metric",-178.270000,-86.710000,0.000000,bottom
"C40","10µF","CP_EIA-1608-10_AVX-L",-179.020000,-82.985000,90.000000,bottom
"C41","100nF","C_0603_1608Metric",-177.520000,-82.985000,90.000000,bottom
"D5","LESD5D5.0CT1G","D_SOD-523",-143.735000,-49.550000,0.000000,bottom
"D6","LESD5D5.0CT1G","D_SOD-523",-148.735000,-49.550000,180.000000,bottom
"D8","LESD5D5.0CT1G","D_SOD-523",-146.235000,-49.550000,0.000000,bottom
"D14","BAT54H,115","D_SOD-123F",-139.450000,-102.121250,180.000000,bottom
"D17","BAT54H,115","D_SOD-123F",-123.612500,-102.130000,180.000000,bottom
"P2","PowerBoost500C","DB_POWERBOOST500C",-117.572114,-77.216461,0.000000,bottom
"P4","S2B-PH-K-S","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",-187.970000,-86.480000,0.000000,bottom
"P5","S3B-PH-K-S","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",-160.700000,-49.350000,0.000000,bottom
"P6","Molex-105017","USB_Micro-B_Molex-105017-0001_Alt",-147.585000,-46.120000,0.000000,bottom
"P7","S2B-PH-K-S","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",-187.970000,-80.980000,0.000000,bottom
"P8","S2B-PH-K-S","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",-169.490000,-108.510000,0.000000,bottom
"Q1","DMN65D8L","DMP3099L-7_DIO",-180.035500,-100.120000,90.000000,bottom
"Q2","DMN65D8L","DMP3099L-7_DIO",-145.715000,-52.020000,-90.000000,bottom
"Q3","DMN65D8L","DMP3099L-7_DIO",-145.725000,-55.890000,-90.000000,bottom
"Q4","DMN65D8L","DMP3099L-7_DIO",-180.030500,-107.175001,90.000000,bottom
"Q5","DMN65D8L","DMP3099L-7_DIO",-174.100500,-74.394999,-90.000000,bottom
"Q6","DMN65D8L","DMP3099L-7_DIO",-117.810000,-56.825000,-90.000000,bottom
"Q7","DMN65D8L","DMP3099L-7_DIO",-117.820500,-60.875000,-90.000000,bottom
"Q8","DMP3099L","DMP3099L-7_DIO",-111.815000,-60.825001,-90.000000,bottom
"R1","0Ω","R_0603_1608Metric",-108.050000,-104.855000,-90.000000,bottom
"R2","0Ω","R_0603_1608Metric",-130.610000,-108.295000,-90.000000,bottom
"R3","0Ω","R_0603_1608Metric",-116.609970,-88.389962,180.000000,bottom
"R4","0Ω","R_0603_1608Metric",-145.850000,-108.305000,-90.000000,bottom
